City,State,latitude,longitude
Anaheim,California,33.8348,-117.9117
Apple Valley,California,34.5008,-117.1859
Bakersfield,California,35.3739,-119.0195
Brentwood,California,37.9318,-121.696
Camarillo,California,34.2164,-119.0376
Chico,California,39.7285,-121.8375
Citrus Heights,California,38.7071,-121.2811
Coachella,California,33.6796,-116.1763
Concord,California,37.978,-122.0311
Costa Mesa,California,33.6633,-117.9033
Danville,California,37.8216,-122
Dublin,California,37.7022,-121.9358
Encinitas,California,33.037,-117.292
Escondido,California,33.1217,-117.0815
Fairfield,California,38.2494,-122.04
Fresno,California,36.6714,-119.8155
Hesperia,California,34.4264,-117.3009
Huntington Beach,California,33.6781,-118
Inglewood,California,33.9617,-118.3531
La Mesa,California,32.7678,-117.0231
Laguna Niguel,California,33.5225,-117.7076
Lake Forest,California,33.647,-117.6892
Lakewood,California,33.8503,-118.1172
Lancaster,California,34.6981,-118.1366
Lodi,California,38.1302,-121.2724
Long Beach,California,33.7775,-118.1885
Los Angeles,California,34.0544,-118.2439
Manteca,California,37.7986,-121.2117
Mission Viejo,California,33.5966,-117.6594
Modesto,California,37.6391,-120.9969
Oakland,California,37.8045,-122.2714
Oceanside,California,33.1959,-117.3795
Ontario,California,34.0658,-117.6484
Oxnard,California,34.1975,-119.1771
Pasadena,California,34.1476,-118.1445
Pico Rivera,California,33.9831,-118.0967
Pomona,California,34.0554,-117.7517
Rancho Cucamonga,California,34.1033,-117.5752
Riverside,California,33.9534,-117.3962
Roseville,California,38.7521,-121.288
Sacramento,California,38.4732,-121.2981
Salinas,California,36.6777,-121.656
San Diego,California,32.7174,-117.1628
San Francisco,California,37.7648,-122.463
San Jose,California,37.2751,-121.8261
San Mateo,California,37.5446,-122.3091
Santa Ana,California,33.7495,-117.8732
Santa Barbara,California,34.4098,-119.697
Santa Clara,California,37.3541,-121.9552
Stockton,California,37.9577,-121.2908
Sunnyvale,California,37.3688,-122.0363
Thousand Oaks,California,34.1706,-118.8376
Torrance,California,33.8358,-118.3406
Westminster,California,33.7578,-117.9859
Whittier,California,33.9749,-118.0337
Woodland,California,38.6786,-121.7733